plot,genre
"In a dystopian future, a group of rebels fight against a totalitarian regime.",Science Fiction
A young girl befriends an alien stranded on Earth and helps him return home.,Family
A detective investigates a series of murders in a small town.,Thriller
A woman discovers she has the ability to time travel and tries to change her past.,Science Fiction
A group of astronauts embark on a mission to find a new habitable planet.,Adventure
A retired hitman is forced back into the criminal underworld to repay a debt.,Action
A young couple navigates the challenges of a long-distance relationship.,Romance
A team of superheroes unite to save the world from an alien invasion.,Action
A woman returns to her hometown to uncover the truth about her parents' death.,Mystery
A cat and a dog team up to find their way back home after getting lost.,Family
An undercover cop infiltrates a criminal gang to bring them down.,Crime
A scientist invents a device that can read people's minds.,Science Fiction
A soldier struggles with life after returning home from war.,Drama
A princess defies tradition to follow her dreams and find true love.,Fantasy
A journalist uncovers a government conspiracy while investigating a murder.,Thriller
A young wizard embarks on a quest to find magical artifacts.,Fantasy
A group of teenagers discover they have superpowers and must save the world.,Adventure
A detective partners with a psychic to solve a series of kidnappings.,Thriller
A chef travels the world to find the rarest ingredients for a special dish.,Adventure
A haunted house terrorizes its new inhabitants with supernatural occurrences.,Horror
